id;name;geoid;geoname;DM;datetime;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.82;2015-01-04T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;34.82;2015-01-04T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;34;2015-01-04T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;36;2015-01-04T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;35;2015-01-04T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;35.5;2015-01-04T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;36;2015-01-04T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;36.49;2015-01-04T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;38.5;2015-01-04T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;41.86;2015-01-04T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.51;2015-01-04T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.51;2015-01-04T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;45.5;2015-01-04T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;47.71;2015-01-04T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;46.48;2015-01-04T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.82;2015-01-04T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.6;2015-01-04T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;47.69;2015-01-04T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.11;2015-01-04T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;61.26;2015-01-04T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.31;2015-01-04T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.69;2015-01-04T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;61.19;2015-01-04T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.8;2015-01-04T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;56.06;2015-01-05T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.07;2015-01-05T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.93;2015-01-05T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;45.67;2015-01-05T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;45.69;2015-01-05T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;47.49;2015-01-05T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;57.5;2015-01-05T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63;2015-01-05T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;65.11;2015-01-05T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.96;2015-01-05T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.52;2015-01-05T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;65.97;2015-01-05T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.68;2015-01-05T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.71;2015-01-05T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60.01;2015-01-05T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.8;2015-01-05T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.98;2015-01-05T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.46;2015-01-05T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.52;2015-01-05T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69;2015-01-05T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.52;2015-01-05T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;65.11;2015-01-05T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.07;2015-01-05T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.8;2015-01-05T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;57.98;2015-01-06T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;50.45;2015-01-06T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;46;2015-01-06T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.84;2015-01-06T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;40.13;2015-01-06T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;40;2015-01-06T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.32;2015-01-06T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;50;2015-01-06T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;49.53;2015-01-06T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;54;2015-01-06T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.28;2015-01-06T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.69;2015-01-06T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;56.86;2015-01-06T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;54.2;2015-01-06T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;51;2015-01-06T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.51;2015-01-06T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;50.31;2015-01-06T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;57;2015-01-06T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60.69;2015-01-06T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.99;2015-01-06T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.7;2015-01-06T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.69;2015-01-06T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60.1;2015-01-06T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;59.86;2015-01-06T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;52.85;2015-01-07T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;49.67;2015-01-07T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.95;2015-01-07T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;50;2015-01-07T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;47.73;2015-01-07T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;51.12;2015-01-07T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60.1;2015-01-07T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.49;2015-01-07T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;68.81;2015-01-07T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;79.99;2015-01-07T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;85.05;2015-01-07T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;79.99;2015-01-07T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;68.81;2015-01-07T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.24;2015-01-07T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.89;2015-01-07T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.13;2015-01-07T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;65.1;2015-01-07T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.24;2015-01-07T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;70.4;2015-01-07T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;75;2015-01-07T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;70.55;2015-01-07T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.69;2015-01-07T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.19;2015-01-07T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;61.53;2015-01-07T23:00:00;;;;;;;
