id;name;geoid;geoname;value;datetime
613;Precio mercado SPOT Intradiario Sesión 2;3;España;40;2019-03-06T00:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;37.44;2019-03-06T01:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;37.5;2019-03-06T02:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;35;2019-03-06T03:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;34.68;2019-03-06T04:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;33.94;2019-03-06T05:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;39.84;2019-03-06T06:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;48.01;2019-03-06T07:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;52.73;2019-03-06T08:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;50.95;2019-03-06T09:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;48.02;2019-03-06T10:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;44.9;2019-03-06T11:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;40;2019-03-06T12:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;40;2019-03-06T13:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;39.8;2019-03-06T14:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;41.99;2019-03-06T15:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;41.78;2019-03-06T16:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;45.02;2019-03-06T17:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;52.7;2019-03-06T18:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;49.78;2019-03-06T19:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;53.3;2019-03-06T20:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;52.73;2019-03-06T21:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;47.29;2019-03-06T22:00:00+01:00
613;Precio mercado SPOT Intradiario Sesión 2;3;España;37.01;2019-03-06T23:00:00+01:00
