id;name;geoid;geoname;value;datetime
614;Precio mercado SPOT Intradiario Sesión 3;3;España;25.78;2019-03-06T04:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;30.29;2019-03-06T05:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;38.5;2019-03-06T06:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;46.01;2019-03-06T07:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;52.5;2019-03-06T08:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;49.15;2019-03-06T09:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;46.02;2019-03-06T10:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;43;2019-03-06T11:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;40.2;2019-03-06T12:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;38.5;2019-03-06T13:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;36.8;2019-03-06T14:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;36.99;2019-03-06T15:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;37.07;2019-03-06T16:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;40.36;2019-03-06T17:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;46.71;2019-03-06T18:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;48.52;2019-03-06T19:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;52.65;2019-03-06T20:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;51.1;2019-03-06T21:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;45;2019-03-06T22:00:00+01:00
614;Precio mercado SPOT Intradiario Sesión 3;3;España;36;2019-03-06T23:00:00+01:00
